Date,EPS Estimate,Reported EPS,Surprise(%),Ticker
2023-11-02 16:00:00-04:00,0.4,0.43,8.12,MNST
2024-02-28 16:00:00-05:00,0.39,0.35,-9.35,MNST
2024-05-02 16:00:00-04:00,0.43,0.42,-3.38,MNST
2024-08-07 16:00:00-04:00,0.45,0.41,-9.61,MNST
2024-11-07 16:00:00-05:00,0.43,0.38,-10.65,MNST
2025-02-27 16:00:00-05:00,0.4,0.38,-5.49,MNST
2025-05-08 16:00:00-04:00,0.46,0.45,-2.15,MNST
2025-08-07 16:00:00-04:00,0.48,0.51,6.73,MNST
2025-11-06 16:00:00-05:00,0.48,0.54,13.36,MNST
2020-01-30 07:00:00-05:00,1.02,1.02,-0.05,MO
2020-04-30 07:00:00-04:00,0.99,1.09,10.36,MO
2020-07-28 07:00:00-04:00,1.06,1.09,2.85,MO
2020-10-30 07:00:00-04:00,1.16,1.19,2.89,MO
2021-01-28 07:00:00-05:00,1.02,0.99,-2.85,MO
2021-04-29 07:00:00-04:00,1.05,1.07,2.08,MO
2021-07-29 07:00:00-04:00,1.17,1.23,4.73,MO
2021-10-28 07:00:00-04:00,1.26,1.22,-3.01,MO
2022-01-27 07:00:00-05:00,1.08,1.09,0.64,MO
2022-04-28 07:00:00-04:00,1.09,1.12,2.52,MO
2022-07-28 07:00:00-04:00,1.25,1.26,0.77,MO
2022-10-27 07:00:00-04:00,1.3,1.28,-1.82,MO
2023-02-01 07:00:00-05:00,1.16,1.18,1.79,MO
2023-04-27 07:00:00-04:00,1.17,1.18,0.51,MO
2023-08-01 07:00:00-04:00,1.3,1.31,0.77,MO
2023-10-26 07:00:00-04:00,1.3,1.28,-1.25,MO
2024-02-01 07:00:00-05:00,1.18,1.18,0.41,MO
2024-04-25 07:00:00-04:00,1.15,1.15,-0.06,MO
2024-07-31 07:00:00-04:00,1.34,1.31,-2.56,MO
2024-10-31 07:00:00-04:00,1.35,1.38,2.25,MO
2025-01-30 07:00:00-05:00,1.28,1.29,0.85,MO
2025-04-29 07:00:00-04:00,1.19,1.23,3.52,MO
2025-07-30 07:00:00-04:00,1.38,1.44,3.99,MO
2025-10-30 07:00:00-04:00,1.45,1.45,0.13,MO
2020-02-10 16:00:00-05:00,2.65,2.73,3.18,MOH
2020-04-30 17:00:00-04:00,3.0,3.02,0.55,MOH
2020-07-30 16:00:00-04:00,4.95,4.79,-3.16,MOH
2020-10-28 16:00:00-04:00,2.18,3.36,54.3,MOH
2021-02-10 16:00:00-05:00,0.82,3.29,302.35,MOH
2021-04-28 16:00:00-04:00,3.71,4.44,19.7,MOH
2021-07-28 16:00:00-04:00,3.4,3.4,,MOH
2021-10-27 16:00:00-04:00,2.8,2.83,1.04,MOH
2022-02-09 16:00:00-05:00,2.76,2.88,4.49,MOH
2022-04-27 16:00:00-04:00,4.68,4.9,4.67,MOH
2022-07-27 16:00:00-04:00,4.37,4.55,4.21,MOH
2022-10-26 16:00:00-04:00,4.23,4.36,3.15,MOH
2023-02-08 16:00:00-05:00,4.02,4.1,2.03,MOH
2023-04-26 16:00:00-04:00,5.21,5.81,11.42,MOH
2023-07-26 16:00:00-04:00,5.13,5.65,10.07,MOH
2023-10-25 16:00:00-04:00,4.87,5.05,3.68,MOH
2024-02-07 16:00:00-05:00,4.35,4.38,0.73,MOH
2024-04-24 16:00:00-04:00,5.64,5.73,1.68,MOH
2024-07-24 16:00:00-04:00,5.6,5.86,4.67,MOH
2024-10-23 16:00:00-04:00,5.51,5.65,2.47,MOH
2025-02-05 16:00:00-05:00,5.88,5.05,-14.15,MOH
2025-04-23 16:00:00-04:00,5.96,6.08,2.05,MOH
2025-07-23 16:00:00-04:00,5.53,5.48,-0.89,MOH
2025-10-22 16:00:00-04:00,3.89,1.84,-52.73,MOH
2020-02-19 16:00:00-05:00,-0.06,-0.29,-393.95,MOS
2020-05-05 06:00:00-04:00,-0.07,-0.06,9.96,MOS
2020-08-03 16:00:00-04:00,0.02,0.11,419.6,MOS
2020-11-03 02:00:00-05:00,0.17,0.23,35.01,MOS
2021-02-17 16:00:00-05:00,0.21,0.57,176.16,MOS
2021-05-03 12:00:00-04:00,0.53,0.57,7.16,MOS
2021-08-03 08:00:00-04:00,1.01,1.17,15.46,MOS
2021-11-01 16:00:00-04:00,1.54,1.35,-12.51,MOS
2022-02-22 16:00:00-05:00,1.98,1.95,-1.29,MOS
2022-05-02 16:00:00-04:00,2.42,2.41,-0.25,MOS
2022-08-01 16:00:00-04:00,4.0,3.64,-8.93,MOS
2022-11-07 16:00:00-05:00,3.4,3.22,-5.24,MOS
2023-02-22 16:00:00-05:00,2.2,1.74,-20.97,MOS
2023-05-03 16:00:00-04:00,1.25,1.14,-9.03,MOS
2023-08-01 16:00:00-04:00,1.1,1.04,-5.79,MOS
2023-11-07 16:00:00-05:00,0.75,0.68,-9.92,MOS
2024-02-21 16:00:00-05:00,0.86,0.71,-17.11,MOS
2024-05-01 16:00:00-04:00,0.66,0.65,-2.11,MOS
2024-08-06 16:00:00-04:00,0.66,0.54,-18.42,MOS
2024-11-12 06:00:00-05:00,0.52,0.34,-34.49,MOS
